method,assay,round,bin,MCC
dnn,TA98_S9,16,>3,0.5738010931208829
dnn,TA98_S9,17,0-1,0.552901913708593
dnn,TA98_S9,17,2-3,0.47906041431752033
dnn,TA98_S9,17,>3,0.5496124761784239
dnn,TA98_S9,18,0-1,0.4319929184632564
dnn,TA98_S9,18,2-3,0.545524379141586
dnn,TA98_S9,18,>3,0.5619865974320655
dnn,TA98_S9,19,0-1,0.5499108734402852
dnn,TA98_S9,19,2-3,0.5566049329190987
dnn,TA98_S9,19,>3,0.5260796248718366
dnn,TA1537,0,0-1,0.25
dnn,TA1537,0,2-3,0.6797704848608184
dnn,TA1537,0,>3,0.5561703163468807
dnn,TA1537,1,0-1,-0.0468292905790847
dnn,TA1537,1,2-3,0.6203028623387458
dnn,TA1537,1,>3,0.5561703163468807
dnn,TA1537,2,0-1,-0.0890870806374748
dnn,TA1537,2,2-3,0.8086924733689046
dnn,TA1537,2,>3,0.6168742716066927
dnn,TA1537,3,0-1,0.08574929257125442
dnn,TA1537,3,2-3,0.7454993164109748
dnn,TA1537,3,>3,0.5205075374190151
dnn,TA1537,4,0-1,-0.0890870806374748
dnn,TA1537,4,2-3,0.6797704848608184
dnn,TA1537,4,>3,0.41828348200394744
dnn,TA1537,5,0-1,0.25
dnn,TA1537,5,2-3,0.6797704848608184
dnn,TA1537,5,>3,0.6411019739030763
dnn,TA1537,6,0-1,0.32025630761017426
dnn,TA1537,6,2-3,0.7454993164109748
dnn,TA1537,6,>3,0.4270884020259513
dnn,TA1537,7,0-1,-0.0890870806374748
dnn,TA1537,7,2-3,0.7454993164109748
dnn,TA1537,7,>3,0.6029530717837002
dnn,TA1537,8,0-1,-0.0890870806374748
dnn,TA1537,8,2-3,0.6829137847914581
dnn,TA1537,8,>3,0.5561703163468807
dnn,TA1537,9,0-1,-0.0468292905790847
dnn,TA1537,9,2-3,0.8086924733689046
dnn,TA1537,9,>3,0.5783588064188496
dnn,TA1537,10,0-1,0.1873171623163388
dnn,TA1537,10,2-3,0.5479667494733855
dnn,TA1537,10,>3,0.5047802962969322
dnn,TA1537,11,0-1,-0.12862393885688164
dnn,TA1537,11,2-3,0.7454993164109748
dnn,TA1537,11,>3,0.5561703163468807
dnn,TA1537,12,0-1,0.08574929257125442
dnn,TA1537,12,2-3,0.6797704848608184
dnn,TA1537,12,>3,0.6304409959094872
dnn,TA1537,13,0-1,0.1336306209562122
dnn,TA1537,13,2-3,0.6139406135149205
dnn,TA1537,13,>3,0.517571092533307
dnn,TA1537,14,0-1,0.2041241452319315
dnn,TA1537,14,2-3,0.7016464154456233
dnn,TA1537,14,>3,0.5628667813778715
dnn,TA1537,15,0-1,0.1873171623163388
dnn,TA1537,15,2-3,0.7461538461538462
dnn,TA1537,15,>3,0.5561703163468807
dnn,TA1537,16,0-1,-0.0890870806374748
dnn,TA1537,16,2-3,0.7454993164109748
dnn,TA1537,16,>3,0.5747595033749502
dnn,TA1537,17,0-1,0.3001225239993905
dnn,TA1537,17,2-3,0.7454993164109748
dnn,TA1537,17,>3,0.41828348200394744
dnn,TA1537,18,0-1,0.041666666666666664
dnn,TA1537,18,2-3,0.7454993164109748
dnn,TA1537,18,>3,0.549251498616901
dnn,TA1537,19,0-1,0.408248290463863
dnn,TA1537,19,2-3,0.6829137847914581
dnn,TA1537,19,>3,0.5628667813778715
dnn,TA1537_S9,0,0-1,0.2581988897471611
dnn,TA1537_S9,0,2-3,0.9233805168766386
dnn,TA1537_S9,0,>3,0.5880410766721988
dnn,TA1537_S9,1,0-1,0.3535533905932738
dnn,TA1537_S9,1,2-3,0.7392960871352163
