TA100,TA100_S9,TA1535,TA1535_S9,TA97,TA97_S9,TA98,TA98_S9,TA1537,TA1537_S9,TA102,TA102_S9,standardised_smiles,CAS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C=C(C)C12OC3(c4ccccc4)OC1C1C4OC4(CO)C(O)C4(O)C(=O)C(C)=CC4C1(O3)C(C)C2OC(=O)C=CC=Cc1ccccc1,['34807-41-5']
1.0,1.0,,,,,0.0,0.0,,,,,C=C(C)C1C=C2C(COC(=O)CCCCCCCCCCCCCCCCC)=CC=C2C(C)=CC1,['52898-98-3']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C1C=CC(C)C(=O)C1,['2244-16-8']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C1CC=C(C)C(O)C1,['99-48-9']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,C=C(C)C1CC=C(C)CC1,['5989-27-5']
,,,,0.0,0.0,,,,,0.0,0.0,C=C(C)C1CC=C(C=O)CC1,['18031-40-8']
0.0,0.0,,,,,0.0,0.0,,,,,C=C(C)C1CCC(C)c2c1cc(C)c(=O)c1c2C(=O)C(C)(O)C1,"['103630-35-9', '103667-53-4']"
0.0,0.0,,,,,0.0,0.0,,,,,C=C(C)C1CCC(C)c2c1cc(C)c(=O)c1c2C(=O)C(C)C1,"['103630-34-8', '103667-52-3']"
0.0,0.0,0.0,0.0,,,,,,,,,C=C(C)C1CCC2(C)OC2C1,['1195-92-2']
0.0,,,,,,0.0,,,,,,C=C(C)C1CO1,['7437-61-8']
0.0,1.0,,,,,0.0,1.0,,,,,C=C(C)C1Cc2c(cc(O)c3c(=O)c4ccccc4n(C)c23)O1,['17948-33-3']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,['83-79-4']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)C=Cc1c(O)c(O)c2ccccc2c1O,['84-79-7']
1.0,1.0,,,,,,,,,,,C=C(C)C=O,['78-85-3']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)CC(C)(C)C,['25167-70-8']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C=C(C)CCl,['563-47-3']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C(C)OC(C)=O,['108-22-5']
0.0,0.0,,,,,0.0,0.0,,,0.0,0.0,C=C(C)c1cc(O)c(C)cc1O,['490-91-5']
0.0,1.0,,,,,0.0,1.0,,,,,C=C(C)c1ccc(C)c2ccc(C=O)c-2c1,['85-33-6']
0.0,1.0,,,,,0.0,1.0,,,,,C=C(C)c1ccc(C)c2ccc(CO)c-2c1,['113393-59-2']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C=C(C)c1ccccc1,['98-83-9']
1.0,1.0,,,,,,,,,,,C=C(C=O)CC,['922-63-4']
,1.0,,,,,,,,,,,C=C(C=O)CCC,['1070-13-9']
1.0,1.0,,,,,,,,,,,C=C(C=O)CCCC,['1070-66-2']
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,['58-54-8']
0.0,1.0,0.0,,,,0.0,0.0,,,0.0,0.0,C=C(CN(C)C)C(=O)c1ccccc1,['100595-96-8']
0.0,0.0,,,,,,,,,,,C=C(Cl)C#N,['920-37-6']
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,C=C(Cl)CCl,['78-88-6']
0.0,,,,,,,,,,,,C=C(Cl)CSC(=S)N(CC)CC,['95-06-7']
1.0,1.0,,1.0,0.0,1.0,0.0,,,0.0,,,C=C(Cl)Cl,['75-35-4']
0.0,,,,,,,,,,,,C=C(OC)C(CSCC(Br)c1ccccc1)N=C(O)CC,['109621-21-8']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(O)C2CC2)CC(O)CC1O,['112965-21-6']
0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)C)CC(O)CC1O,['57333-96-7']
,,,,,,,,,,,,C=C1C(=O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3,['106428-28-8']
0.0,0.0,,,,,0.0,0.0,,,,,C=C1C(=O)OC2C1CCC(C)C1=CCC(=O)C12C,['509-93-3']
,,,,,,,,,,,,C=C1C(=O)OC2CC3(C)C(CCC(C)=O)C3CC12,['1748-81-8']
,0.0,,,,,,,,,,,C=C1C(=O)OC2CCN3CC=C(COC(=O)C(C)(O)C(C)C1C)C23,['72755-25-0']
1.0,,,,,,1.0,,,,,,C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl,['8001-35-2']
,,,,,,,,,,,,C=C1C(O)C23CCC4C(C)(C(=O)O)CCCC4(C)C2CCC1(O)C3,['95307-47-4']
,0.0,,,,,,0.0,,,,,C=C1C(O)C2OC3(CCC(C=CC(C)C4CC(C)=CC5(OC(CC(C)(O)C(=O)O)CCC5O)O4)O3)CCC2OC1C(O)CC(C)C1OC2(CCCCO2)CCC1C,['78111-17-8']
